id,source_text,target_text
87,How many continents are there? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:continents, aggregate count #1"
88,What is the number of continents? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:continents, aggregate count #1"
89,"How many countries does each continent have? List the continent id, continent name and the number of countries. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:continents, project tbl:countries #1, group #2 #1, project col:continents/ContId #1, project col:continents/Continent #1, union #4 #5 #3"
90,"For each continent, list its id, name, and how many countries it has? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:continents, project col:continents/ContId #1, project col:continents/Continent #1, project tbl:countries #1, group #4 #1, union #2 #3 #5"
91,How many countries are listed? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:countries, comparative #1 #1 none, aggregate count #2"
92,How many countries exist? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:countries, aggregate count #1"
93,"How many models does each car maker produce? List maker full name, id and the number. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:car_makers, project tbl:model_list #1, group #2 #1, project col:car_makers/FullName #1, project col:car_makers/Id #1, union #4 #5 #3"
94,"What is the full name of each car maker, along with its id and how many models it produces? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:car_makers, project tbl:model_list #1, group #2 #1, project col:car_makers/FullName #1, project col:car_makers/Id #1, union #4 #5 #3"
95,Which model of the car has the minimum horsepower? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, project col:cars_data/Horsepower #1, aggregate min #2, comparative #1 #2 =#3, project col:car_names/Model #4"
96,What is the model of the car with the smallest amount of horsepower? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, project col:cars_data/Horsepower #1, superlative min #1 #2, project col:car_names/Model #3"
97,Find the model of the car whose weight is below the average weight. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, project col:car_names/Model #1, project col:cars_data/Weight #2, aggregate avg #3, comparative #2 #3 <#4"
98,What is the model for the car with a weight smaller than the average? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, project col:cars_data/Weight #1, aggregate avg #2, comparative #1 #2 <#3, project col:car_names/Model #4"
99,Find the name of the makers that produced some cars in the year of 1970? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, comparative #1 #1 =1970 col:cars_data/Year, project tbl:car_makers #2, project col:car_makers/Maker #3"
