id,source_text,output_text,alt_text
CLEVR_train_3650,Are these items in a straight line?,"[""SELECT['items']"", ""BOOLEAN['#1', 'are in a straight line']""]","[""SELECT['items']"", ""BOOLEAN['#1', 'if these #REF are in a straight line']""]"
CLEVR_train_3652,how many small objects are to the left of the big purple block,"[""SELECT['small objects']"", ""SELECT['big block']"", ""FILTER['#2', 'that is purple']"", ""FILTER['#1', 'to the left of #3']"", ""AGGREGATE['count', '#4']""]","[""SELECT['the big purple block']"", ""SELECT['objects']"", ""FILTER['#2', 'that are small']"", ""FILTER['#3', 'that are to the left of #1']"", ""AGGREGATE['count', '#4']""]"
CLEVR_train_3653,Are all the things made of the same material?,"[""SELECT['things']"", ""PROJECT['materials that #REF are made of', '#1']"", ""BOOLEAN['#2', 'if all #REF are the same']""]","[""SELECT['objects']"", ""PROJECT['materials of #REF', '#1']"", ""BOOLEAN['#2', 'if all #REF are the same']""]"
CLEVR_train_3656,what color is represented by a single object?,"[""SELECT['objects']"", ""PROJECT['colors of #REF', '#1']"", ""GROUP['count', '#1', '#2']"", ""COMPARATIVE['#2', '#3', 'is one']""]","[""SELECT['objects']"", ""PROJECT['colors represented by #REF', '#1']"", ""GROUP['count', '#1', '#2']"", ""COMPARATIVE['#2', '#3', 'is one']""]"
CLEVR_train_3657,Is the material of the red cube the same as the brown cylinder?,"[""SELECT['red cube']"", ""SELECT['brown cylinder']"", ""PROJECT['material of #REF', '#1']"", ""PROJECT['material of #REF', '#2']"", ""BOOLEAN['#3', 'the same as #4']""]","[""SELECT['the red cube']"", ""SELECT['the brown cylinder']"", ""PROJECT['material of #REF', '#1']"", ""PROJECT['material of #REF', '#2']"", ""BOOLEAN['#3', 'is the same as #4']""]"
CLEVR_train_3658,Are the number of small objects equal to the number of gray objects?,"[""SELECT['small objects']"", ""SELECT['gray objects']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'the same as #4']""]","[""SELECT['small objects']"", ""SELECT['gray objects']"", ""AGGREGATE['count', '#1']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'equal to #4']""]"
CLEVR_train_3660,What color is the shortest object?,"[""SELECT['objects']"", ""PROJECT['size of #REF', '#1']"", ""SUPERLATIVE['min', '#1', '#2']"", ""PROJECT['color of #REF', '#3']""]","[""SELECT['objects']"", ""AGGREGATE['min', '#1']"", ""PROJECT['color of #REF', '#2']""]"
CLEVR_train_3662,is the item positioned by itself the same color as either of the two items situated next to each other?,"[""SELECT['items']"", ""FILTER['#1', 'that is positioned by itself']"", ""FILTER['#1', 'that is situated next to each other']"", ""PROJECT['color of #REF', '#2']"", ""PROJECT['color of #REF', '#3']"", ""BOOLEAN['#4', 'is the same as #5']""]","[""SELECT['items']"", ""FILTER['#1', 'that are positioned by itself']"", ""FILTER['#1', 'that are situated next to each other']"", ""PROJECT['color of #REF', '#2']"", ""PROJECT['color of #REF', '#3']"", ""BOOLEAN['#4', 'is the same as #5']""]"
CLEVR_train_3663,How many thirds does the shiny objects make up for?,"[""SELECT['objects']"", ""FILTER['#1', 'that are shiny']"", ""DISCARD['#1', '#2']"", ""PROJECT['thirds of #REF', '#3']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are shiny']"", ""PROJECT['thirds of #REF', '#2']""]"
CLEVR_train_3667,is the largest item the only one of its shape?,"[""SELECT['items']"", ""PROJECT['size of #REF', '#1']"", ""SUPERLATIVE['max', '#1', '#2']"", ""PROJECT['shape of #REF', '#3']"", ""AGGREGATE['count', '#4']"", ""BOOLEAN['#5', 'is equal to one']""]","[""SELECT['items']"", ""PROJECT['size of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is the highest']"", ""PROJECT['shape of #REF', '#3']"", ""AGGREGATE['count', '#4']"", ""BOOLEAN['#5', 'is equal to one']""]"
