id,source_text,output_text,alt_text
0,How many heads of the departments are older than 56 ?,"select tbl:head, comparative #1 #1 >56 col:head/age, aggregate count #2","select tbl:head, comparative #1 #1 >56 col:head/Age, aggregate count #2"
2,"List the creation year, name and budget of each department.","select tbl:department, project col:department/Creation #1, project col:department/Name #1, project col:department/Budget_in_Billions #1, union #2 #3 #4","select col:department, project col:department/Creation #1, project col:department/Name #1, project col:department/Budget_in_Billions #1, union #2 #3 #4"
3,What are the maximum and minimum budget of the departments?,"select tbl:department, project col:department/budget #1, aggregate max #2, aggregate min #2, union #3 #4","select tbl:department, project col:department/budget #1, aggregate max #2, aggregate min #2, union #4 #3"
5,What are the names of the heads who are born outside the California state?,"select tbl:head, comparative #1 #1!=California col:head/born_state, project col:head/name #2","select tbl:head, project none #1, comparative #1 #2!=California, project col:head/name #3"
7,What are the names of the states where at least 3 heads were born?,"select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 >=3, project col:head/born_state #4","select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 >=3"
8,In which year were most departments established?,"select col:department, project tbl:department #1, group #2 #1, superlative #1 #3","select col:department, project none #1, group #2 #1, superlative #1 #3"
10,How many acting statuses are there?,"select tbl:Manager, aggregate count #1","select tbl:manager, aggregate count #1"
12,What are the distinct ages of the heads who are acting?,"select tbl:head, comparative #1 #1 =Yes col:management/temporary_acting","select tbl:head, comparative #1 #1 =yes col:management/temporary_acting"
13,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,"select col:head, comparative #1 #1 =Treasury col:department/Name, comparative #1 #1 =Homeland Security col:department/Name, intersection #1 #2 #3","select tbl:department, comparative #1 #1 =Treasury col:department/Name, comparative #1 #1 =Homeland Security col:department/Name, intersection #1 #2 #3, project col:born/Name #4"
14,"Which department has more than 1 head at a time? List the id, name and the number of heads.","select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 >1, project col:head/Department_ID #4, project col:head/Name #4, project tbl:head #4, aggregate count #7, union #5 #6 #8","select tbl:department, project tbl:head #1, group #2 #1, comparative #1 #3 >1, project col:department/Department_ID #4, project col:department/Name #4, project tbl:head #4, aggregate count #7, union #5 #6 #8"
15,Which head's name has the substring 'Ha'? List the id and name.,"select tbl:head, project col:head/name #1, comparative #1 #2 like%Ha%, project col:head/head_id #3, project col:head/name #3, union #4 #5","select tbl:head, project col:head/name #1, comparative #1 #2 like%Ha%, project col:head/head_ID #3, project col:head/name #3, union #4 #5"
16,How many farms are there?,"select tbl:farm, aggregate count #1","select col:farm, aggregate count #1"
17,Count the number of farms.,"select tbl:farm, aggregate count #1","select col:farm, aggregate count #1"
19,"What is the total horses record for each farm, sorted ascending?","select tbl:farm, project col:farm/Total_Horses #1, group #2 #1, sort #3 #3 ascending","select col:farm, project col:farm/Total_Horses #1, group #2 #1, sort #3 #3 ascending"
20,"What are the hosts of competitions whose theme is not ""Aliens""?","select col:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2!=Aliens, project col:farm_competition/Hosts #3","select col:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2!=Aliens"
21,Return the hosts of competitions for which the theme is not Aliens?,"select col:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2!=Aliens, project col:farm_competition/Hosts #3","select tbl:farm_competition, comparative #1 #1!=Aliens col:farm_competition/Theme, project col:farm_competition/Hosts #2"
23,"Return the themes of farm competitions, sorted by year ascending.","select tbl:farm_competition, project col:farm_competition/Theme #1, project col:farm_competition/Year #1, sort #2 #3 ascending","select tbl:farm_competition, project col:farm_competition/Theme #1, project col:farm_competition/Year #1, sort #2 #3"
26,What are the maximum and minimum number of cows across all farms.,"select tbl:farm, project col:farm/Cows #1, group #2 #1, aggregate max #3, aggregate min #3, union #4 #5","select tbl:farm, project col:farm/Cows #1, aggregate max #2, aggregate min #2, union #3 #4"
