source_text,output_text,alt_text,modify_type
How many heads of the departments are older than 56 ?,"select tbl:head, comparative #1 #1 great/56 col:head/age, aggregate count #2","select tbl:head, project none #1, comparative #1 #2 great/56, aggregate count #3",beam
How many heads of the departments are older than 56 ?,"select tbl:head, comparative #1 #1 great/56 col:head/age, aggregate count #2","select tbl:head, comparative #1 #1 less/56 col:head/age, aggregate count #2",greate/less
"List the creation year, name and budget of each department.","select tbl:department, project col:department/Creation #1, project col:department/Name #1, project col:department/Budget_in_Billions #1, union #2 #3 #4","select tbl:department, project col:department/Creations #1, project col:department/Name #1, project col:department/Budget_in_Billions #1, union #2 #3 #4",beam
"List the creation year, name and budget of each department.","select tbl:department, project col:department/Creation #1, project col:department/Name #1, project col:department/Budget_in_Billions #1, union #2 #3 #4","select tbl:department, project col:department/Name #1, project col:department/Creation #1, project col:department/Budget_in_Billions #1, union #2 #3 #4",order
"List the creation year, name and budget of each department.","select tbl:department, project col:department/Creation #1, project col:department/Name #1, project col:department/Budget_in_Billions #1, union #2 #3 #4","select tbl:department, project col:department/Name #1, project col:department/Creation #1, project col:department/Budget_in_Billions #1, union #2 #3 #4",greate/less
What are the maximum and minimum budget of the departments?,"select tbl:department, project col:department/Budget_in_Billions #1, aggregate max #2, aggregate min #2, union #3 #4","select tbl:department, project col:department/Budgeted #1, aggregate max #2, aggregate min #2, union #3 #4",beam
What are the maximum and minimum budget of the departments?,"select tbl:department, project col:department/Budget_in_Billions #1, aggregate max #2, aggregate min #2, union #3 #4","select tbl:department, aggregate min #2, aggregate max #2, project col:department/Budget_in_Billions #1, union #3 #4",order
What are the maximum and minimum budget of the departments?,"select tbl:department, project col:department/Budget_in_Billions #1, aggregate max #2, aggregate min #2, union #3 #4","select tbl:department, aggregate min #2, aggregate max #2, project col:department/Budget_in_Billions #1, union #3 #4",greate/less
What are the names of the heads who are born outside the California state?,"select tbl:head, comparative #1 #1 notequal/California col:head/born_state, project col:head/name #2","select tbl:headed, comparative #1 #1 notequal/California col:head/born_state, project col:head/name #2",beam
What are the names of the heads who are born outside the California state?,"select tbl:head, comparative #1 #1 notequal/California col:head/born_state, project col:head/name #2","select tbl:head, comparative #1 #1 notequal/California col:head/born_state, project col:head/name #2",greate/less
