id,source_text,target_text
0,How many heads of the departments are older than 56 ? <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select tbl:head, comparative #1 #1 great/56 col:head/age, aggregate count #2"
2,"List the creation year, name and budget of each department. <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>","select tbl:department, project col:department/Creation #1, project col:department/Name #1, project col:department/Budget_in_Billions #1, union #2 #3 #4"
3,What are the maximum and minimum budget of the departments? <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select tbl:department, project col:department/Budget_in_Billions #1, aggregate max #2, aggregate min #2, union #3 #4"
5,What are the names of the heads who are born outside the California state? <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select tbl:head, comparative #1 #1 notequal/California col:head/born_state, project col:head/name #2"
7,What are the names of the states where at least 3 heads were born? <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 greatequal/3, project col:head/born_state #4"
8,In which year were most departments established? <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select col:department, project tbl:department #1, group #2 #1, superlative max #1 #3"
10,How many acting statuses are there? <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select col:management, aggregate count #1"
12,What are the distinct ages of the heads who are acting? <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select tbl:head, comparative #1 #1 equal/Yes col:management/temporary_acting"
13,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born. <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select col:head, comparative #1 #1 equal/Treasury col:department/Name, comparative #1 #1 equal/Homeland Security col:department/Name, intersection #1 #2 #3"
14,"Which department has more than 1 head at a time? List the id, name and the number of heads. <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>","select tbl:department, project tbl:head #1, group #2 #1, comparative #1 #3 great/1, project col:department/Department_ID #4, project col:department/Name #4, project tbl:head #4, aggregate count #7, union #5 #6 #8"
