name,ex,em,hardness,error_pair
SPIDER_dev_5,FALSE,FALSE,medium,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='grounding', arg=None)]]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":1,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":16},""ref"":0,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""Avg""}},""ref"":1,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""MinAgg""}},""ref"":1,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""MaxAgg""}},""ref"":1,""step"":{""_type"":""NextStepUnion"",""union"":{""_type"":""union"",""ref1"":2,""ref2"":3,""union_3arg"":{""_type"":""RefArg"",""ref"":4},""union_4arg"":{""_type"":""NoneUnionArg""},""step"":{""_type"":""FinalStep""}}}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=val|singer|Country|France)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#3'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#3'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='ref', arg=['#6'])]]]""}"
SPIDER_dev_7,FALSE,FALSE,medium,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Is_male), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Name), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_release_year), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":1,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":17},""ref"":0,""step"":{""_type"":""NextStepSup"",""superlative"":{""_type"":""superlative"",""superlative_op_type"":{""_type"":""SupOp"",""superlative_ops"":{""_type"":""Min""}},""ref1"":0,""ref2"":1,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":12},""ref"":2,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":15},""ref"":2,""step"":{""_type"":""NextStepUnion"",""union"":{""_type"":""union"",""ref1"":3,""ref2"":4,""union_3arg"":{""_type"":""NoneUnionArg""},""union_4arg"":{""_type"":""NoneUnionArg""},""step"":{""_type"":""FinalStep""}}}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_release_year), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='ref', arg=['#6'])]]]""}"
SPIDER_dev_12,FALSE,FALSE,hard,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|Dangerous|col|singer|Song_Name)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":1,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":16},""ref"":0,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""Avg""}},""ref"":1,""step"":{""_type"":""NextStepComp"",""comparative"":{""_type"":""comparative"",""is_distinct"":{""_type"":""False""},""ref1"":0,""ref2"":1,""comparative_3arg_type"":{""_type"":""CompArg"",""comp_op_type"":{""_type"":""CompOp"",""comparative_ops"":{""_type"":""Gt""}},""column_type"":{""_type"":""ColumnGrounding"",""grounding"":14},""comp_val"":{""_type"":""CompGrounding"",""grounding"":25}},""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":14},""ref"":3,""step"":{""_type"":""FinalStep""}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|#3)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False]]""}"
SPIDER_dev_13,FALSE,FALSE,hard,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Average), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|Dangerous|col|singer|Song_Name)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":1,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":10},""ref"":0,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""Avg""}},""ref"":1,""step"":{""_type"":""NextStepComp"",""comparative"":{""_type"":""comparative"",""is_distinct"":{""_type"":""False""},""ref1"":0,""ref2"":1,""comparative_3arg_type"":{""_type"":""CompArg"",""comp_op_type"":{""_type"":""CompOp"",""comparative_ops"":{""_type"":""Gt""}},""column_type"":{""_type"":""ColumnGrounding"",""grounding"":14},""comp_val"":{""_type"":""CompGrounding"",""grounding"":25}},""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":14},""ref"":3,""step"":{""_type"":""FinalStep""}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|#3)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False]]""}"
SPIDER_dev_15,FALSE,FALSE,medium,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|<=|5000|col|stadium|Capacity)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|<=|5000|col|stadium|Capacity)], False], ['intersection', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Location), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#6']), QDMRStepArg(arg_type='ref', arg=['#7']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":0,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":7},""ref"":0,""step"":{""_type"":""NextStepComp"",""comparative"":{""_type"":""comparative"",""is_distinct"":{""_type"":""False""},""ref1"":0,""ref2"":1,""comparative_3arg_type"":{""_type"":""CompArg"",""comp_op_type"":{""_type"":""CompOp"",""comparative_ops"":{""_type"":""Le""}},""column_type"":{""_type"":""ColumnGrounding"",""grounding"":7},""comp_val"":{""_type"":""CompGrounding"",""grounding"":27}},""step"":{""_type"":""NextStepComp"",""comparative"":{""_type"":""comparative"",""is_distinct"":{""_type"":""False""},""ref1"":0,""ref2"":1,""comparative_3arg_type"":{""_type"":""CompArg"",""comp_op_type"":{""_type"":""CompOp"",""comparative_ops"":{""_type"":""Le""}},""column_type"":{""_type"":""ColumnGrounding"",""grounding"":7},""comp_val"":{""_type"":""CompGrounding"",""grounding"":27}},""step"":{""_type"":""NextStepIntersect"",""intersection"":{""_type"":""intersection"",""ref1"":0,""ref2"":2,""union_3arg"":{""_type"":""RefArg"",""ref"":3},""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":5},""ref"":4,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":6},""ref"":4,""step"":{""_type"":""NextStepUnion"",""union"":{""_type"":""union"",""ref1"":5,""ref2"":6,""union_3arg"":{""_type"":""NoneUnionArg""},""union_4arg"":{""_type"":""NoneUnionArg""},""step"":{""_type"":""FinalStep""}}}}}}}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|<=|10000|col|stadium|Capacity)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>=|5000|col|stadium|Capacity)], False], ['intersection', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Location), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#6']), QDMRStepArg(arg_type='ref', arg=['#7'])]]]""}"
SPIDER_dev_17,FALSE,FALSE,medium,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Average), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":0,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":10},""ref"":0,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""Avg""}},""ref"":1,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""MaxAgg""}},""ref"":1,""step"":{""_type"":""NextStepUnion"",""union"":{""_type"":""union"",""ref1"":2,""ref2"":3,""union_3arg"":{""_type"":""NoneUnionArg""},""union_4arg"":{""_type"":""NoneUnionArg""},""step"":{""_type"":""FinalStep""}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]]]""}"
SPIDER_dev_38,FALSE,FALSE,hard,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|=|2014|col|singer|Song_release_year)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Name), QDMRStepArg(arg_type='ref', arg=['#2'])], False]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":1,""step"":{""_type"":""NextStepComp"",""comparative"":{""_type"":""comparative"",""is_distinct"":{""_type"":""False""},""ref1"":0,""ref2"":0,""comparative_3arg_type"":{""_type"":""CompArg"",""comp_op_type"":{""_type"":""NoOp""},""column_type"":{""_type"":""ColumnGrounding"",""grounding"":15},""comp_val"":{""_type"":""CompGrounding"",""grounding"":26}},""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":12},""ref"":1,""step"":{""_type"":""FinalStep""}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|concert)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|=|2014|col|concert|Year)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|singer_in_concert), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Name), QDMRStepArg(arg_type='ref', arg=['#3'])], False]]""}"
SPIDER_dev_43,FALSE,FALSE,hard,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|concert), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#4'])]]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":0,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":7},""ref"":0,""step"":{""_type"":""NextStepSup"",""superlative"":{""_type"":""superlative"",""superlative_op_type"":{""_type"":""SupOp"",""superlative_ops"":{""_type"":""Max""}},""ref1"":0,""ref2"":1,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":2},""ref"":2,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""UseColumn"",""grounding"":7},""ref"":3,""step"":{""_type"":""FinalStep""}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|concert), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='count'), QDMRStepArg(arg_type='ref', arg=['#4'])]]]""}"
SPIDER_dev_48,FALSE,FALSE,hard,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=val|Pets|PetType|dog)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3'])]]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":19,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":16},""ref"":0,""step"":{""_type"":""NextStepSup"",""superlative"":{""_type"":""superlative"",""superlative_op_type"":{""_type"":""SupOp"",""superlative_ops"":{""_type"":""Min""}},""ref1"":0,""ref2"":1,""step"":{""_type"":""NextStepAgg"",""aggregate"":{""_type"":""aggregate"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""MaxAgg""}},""ref"":2,""step"":{""_type"":""FinalStep""}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=val|Pets|PetType|dog)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#3'])], False]]""}"
SPIDER_dev_49,FALSE,FALSE,medium,"{""model_output"":{""orig_code"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]"",""tree"":{""_type"":""root"",""step"":{""_type"":""NextStepSelect"",""select"":{""_type"":""select"",""is_distinct"":{""_type"":""False""},""grounding"":2,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":16},""ref"":0,""step"":{""_type"":""NextStepGroup"",""group"":{""_type"":""group"",""agg_type"":{""_type"":""AggOp"",""agg_ops"":{""_type"":""MaxAgg""}},""ref1"":1,""ref2"":0,""step"":{""_type"":""NextStepProject"",""project"":{""_type"":""project"",""is_distinct"":{""_type"":""False""},""project_1arg"":{""_type"":""GroundingProjectArg"",""grounding"":14},""ref"":0,""step"":{""_type"":""NextStepUnion"",""union"":{""_type"":""union"",""ref1"":2,""ref2"":3,""union_3arg"":{""_type"":""NoneUnionArg""},""union_4arg"":{""_type"":""NoneUnionArg""},""step"":{""_type"":""FinalStep""}}}}}}}}}}}}},""ground_truth"":""[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['select', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#2'])]]]""}"
