name,ex,em,hardness,error_pair__model_output,error_pair__ground_truth
SPIDER_dev_0,TRUE,TRUE,easy,,
SPIDER_dev_1,TRUE,TRUE,easy,,
SPIDER_dev_2,TRUE,FALSE,medium,,
SPIDER_dev_3,TRUE,FALSE,medium,,
SPIDER_dev_4,TRUE,FALSE,medium,,
SPIDER_dev_5,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=val|singer|Country|France)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#3'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#3'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='ref', arg=['#6'])]]]"
SPIDER_dev_6,TRUE,FALSE,medium,,
SPIDER_dev_7,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Is_male), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Name), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_release_year), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_release_year), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='ref', arg=['#6'])]]]"
SPIDER_dev_8,TRUE,FALSE,easy,,
SPIDER_dev_9,TRUE,TRUE,easy,,
